InvoiceNo,CustomerID,InvoiceDate,month,weekday,hour,Country,quantity,order_value
78537665,16365.0,"2018-12-07 17:19:00",12,4,17,DE,101,1255.42
78539265,,"2018-12-16 15:02:00",12,6,15,DE,1,5.99
78550437,16923.0,"2019-04-18 12:14:00",4,3,12,DE,94,7938.17
78551391,15514.0,"2019-04-28 12:06:00",4,6,12,DE,152,22912.32
78555841,14583.0,"2019-06-07 12:47:00",6,4,12,DE,155,16954.50
78558875,13301.0,"2019-07-04 13:35:00",7,3,13,DE,81,5274.97
78559109,15021.0,"2019-07-06 11:52:00",7,5,11,DE,82,18534.36
78559305,17892.0,"2019-07-07 12:56:00",7,6,12,DE,69,7152.29
78561867,16931.0,"2019-07-31 10:59:00",7,2,10,DE,85,10357.42
78567292,14606.0,"2019-09-19 11:59:00",9,3,11,DE,19,573.99
78550927,,"2019-04-21 14:40:00",4,6,14,DE,1,5.99
78553746,,"2019-05-19 09:46:00",5,6,9,DE,1,5.99
78556950,,"2019-06-15 16:56:00",6,5,16,DE,1,5.99
78565798,,"2019-09-07 10:15:00",9,5,10,DE,1,5.99
78556446,15098.0,"2019-06-10 15:33:00",6,0,15,DE,1,6.10
78571931,,"2019-10-19 16:59:00",10,5,16,DE,572,67980.21
78580469,14583.0,"2019-12-04 12:32:00",12,2,12,DE,220,37127.04
78581197,,"2019-12-07 17:56:00",12,5,17,DE,12,1540.45
78539921,12748.0,"2018-12-23 11:09:00",12,6,11,DE,5,692.44
78556491,16794.0,"2019-06-12 14:15:00",6,2,14,DE,260,33108.26
78556465,14984.0,"2019-06-12 11:04:00",6,2,11,DE,21,1800.71
78566726,15021.0,"2019-09-14 13:12:00",9,5,13,DE,127,15228.03
78577034,12847.0,"2019-11-17 13:16:00",11,6,13,DE,909,128756.27
78538649,,"2018-12-13 15:03:00",12,3,15,DE,3,164.49
78540973,,"2019-01-12 14:20:00",1,5,14,DE,2,125.84
78570168,17596.0,"2019-10-07 14:05:00",10,0,14,DE,852,95693.91
78570238,16332.0,"2019-10-09 15:01:00",10,2,15,DE,49,3181.72
78574351,17348.0,"2019-11-04 10:37:00",11,0,10,DE,160,5498.46
78574654,15571.0,"2019-11-06 11:32:00",11,2,11,DE,102,6557.05
78575325,17293.0,"2019-11-09 13:46:00",11,5,13,DE,155,16428.34
78577733,15163.0,"2019-11-21 13:10:00",11,3,13,DE,138,39333.91
78578255,14675.0,"2019-11-23 12:58:00",11,5,12,DE,341,29667.85
78578783,12748.0,"2019-11-25 11:58:00",11,0,11,DE,380,46710.96
78551816,15906.0,"2019-05-04 11:50:00",5,5,11,DE,117,13774.70
78562419,14667.0,"2019-08-04 16:36:00",8,6,16,DE,124,31651.95
78571309,13685.0,"2019-10-17 10:17:00",10,3,10,DE,13,1498.40
78576625,15571.0,"2019-11-15 17:20:00",11,4,17,DE,34,4281.40
78569896,,"2019-10-06 15:58:00",10,6,15,DE,73,7096.35
78572903,17974.0,"2019-10-26 15:17:00",10,5,15,DE,114,18175.72
78578008,14657.0,"2019-11-22 12:47:00",11,4,12,DE,127,10564.37
78581113,14534.0,"2019-12-07 12:19:00",12,5,12,DE,83,12650.91
78537385,14487.0,"2018-12-06 13:22:00",12,3,13,DE,37,4821.94
78538248,18116.0,"2018-12-10 12:14:00",12,0,12,DE,72,8321.68
78541240,16206.0,"2019-01-16 11:07:00",1,2,11,DE,83,4230.87
78541316,13209.0,"2019-01-17 14:27:00",1,3,14,DE,43,11935.82
78545060,15547.0,"2019-02-27 13:47:00",2,2,13,DE,270,14999.87
78546846,13533.0,"2019-03-17 12:47:00",3,6,12,DE,96,9821.03
78549425,14030.0,"2019-04-08 11:54:00",4,0,11,DE,248,15994.59
78550818,15912.0,"2019-04-20 17:10:00",4,5,17,DE,66,5595.45
78551616,15048.0,"2019-05-03 11:40:00",5,4,11,DE,90,4329.85
78554083,18125.0,"2019-05-22 11:51:00",5,2,11,DE,190,15495.12
78554491,14606.0,"2019-05-24 13:50:00",5,4,13,DE,62,3992.89
78558637,17891.0,"2019-06-30 20:08:00",6,6,20,DE,393,23137.87
78559523,13955.0,"2019-07-08 17:19:00",7,0,17,DE,44,5130.48
78559984,16657.0,"2019-07-14 11:45:00",7,6,11,DE,205,24477.53
78565326,16706.0,"2019-09-02 13:41:00",9,0,13,DE,55,6495.97
78556810,,"2019-06-14 16:50:00",6,4,16,DE,1,6.79
78540693,,"2019-01-11 09:13:00",1,4,9,DE,1,6.89
78543014,,"2019-02-02 13:36:00",2,5,13,DE,1,6.89
78547531,,"2019-03-23 15:06:00",3,5,15,DE,1,6.89
78580743,,"2019-12-06 09:30:00",12,4,9,DE,1,6.89
78563621,13113.0,"2019-08-18 10:10:00",8,6,10,DE,147,11431.47
78566194,14711.0,"2019-09-09 13:42:00",9,0,13,DE,91,8927.71
78561207,13110.0,"2019-07-25 16:20:00",7,3,16,DE,2,321.96
78571256,,"2019-10-14 17:16:00",10,0,17,DE,1,6.97
78561860,17997.0,"2019-07-29 17:28:00",7,0,17,DE,169,5868.51
78536633,14901.0,"2018-12-02 11:20:00",12,6,11,DE,105,4864.87
78545158,15874.0,"2019-02-28 13:28:00",2,3,13,DE,52,1524.47
78545902,15834.0,"2019-03-07 17:55:00",3,3,17,DE,2,40.97
78546480,13452.0,"2019-03-14 11:38:00",3,3,11,DE,1,6.99
78547814,13452.0,"2019-03-25 14:19:00",3,0,14,DE,1,6.99
78579537,,"2019-11-30 09:58:00",11,5,9,DE,5,434.95
78537765,14606.0,"2018-12-08 12:08:00",12,5,12,DE,81,5982.50
78544463,12988.0,"2019-02-20 14:31:00",2,2,14,DE,136,12190.89
78545667,,"2019-03-04 16:07:00",3,0,16,DE,354,39405.16
78547385,,"2019-03-22 15:48:00",3,4,15,DE,309,26597.89
78558538,15005.0,"2019-06-30 12:12:00",6,6,12,DE,192,23234.12
78561195,14796.0,"2019-07-25 13:57:00",7,3,13,DE,572,81310.84
78547536,,"2019-03-23 15:07:00",3,5,15,DE,1,6.99
78547928,,"2019-03-28 14:00:00",3,3,14,DE,1,6.99
78538724,,"2018-12-14 11:12:00",12,4,11,DE,1,6.99
78546539,,"2019-03-14 15:01:00",3,3,15,DE,1,6.99
78570244,14514.0,"2019-10-09 16:05:00",10,2,16,DE,416,37808.14
78572872,15320.0,"2019-10-26 13:27:00",10,5,13,DE,326,9881.78
78573335,15059.0,"2019-10-30 11:35:00",10,2,11,DE,63,2487.75
78574959,17886.0,"2019-11-08 10:09:00",11,4,10,DE,256,29259.80
78578921,13596.0,"2019-11-27 11:57:00",11,2,11,DE,214,35506.43
78579465,15790.0,"2019-11-29 14:53:00",11,4,14,DE,111,6792.27
78536551,17346.0,"2018-12-01 14:34:00",12,5,14,DE,88,5913.44
78538012,14527.0,"2018-12-09 12:32:00",12,6,12,DE,48,2316.27
78539735,,"2018-12-21 15:17:00",12,4,15,DE,64,4015.55
78539744,,"2018-12-21 15:21:00",12,4,15,DE,62,5670.42
78540098,16241.0,"2019-01-04 15:50:00",1,4,15,DE,70,5370.50
78540248,15034.0,"2019-01-05 15:57:00",1,5,15,DE,183,20877.78
78541132,,"2019-01-14 10:17:00",1,0,10,DE,55,8751.31
78541495,,"2019-01-18 14:59:00",1,4,14,DE,54,7262.58
78541496,,"2019-01-18 15:00:00",1,4,15,DE,51,6431.82
78541506,,"2019-01-18 16:05:00",1,4,16,DE,63,7066.59
78541565,14527.0,"2019-01-19 11:48:00",1,5,11,DE,45,8645.07
78541584,,"2019-01-19 14:12:00",1,5,14,DE,53,4642.20
78541810,,"2019-01-21 15:00:00",1,0,15,DE,78,9275.88
78542239,17786.0,"2019-01-26 14:35:00",1,5,14,DE,56,5939.26
78543454,14527.0,"2019-02-08 12:20:00",2,4,12,DE,24,1907.73
78545160,,"2019-02-28 13:31:00",2,3,13,DE,5,500.33
78550314,16905.0,"2019-04-17 11:30:00",4,2,11,DE,79,9525.81
78561678,17931.0,"2019-07-28 18:33:00",7,6,18,DE,85,52566.79
78561891,15438.0,"2019-07-31 14:19:00",7,2,14,DE,59,3881.44
78561915,14408.0,"2019-08-01 11:23:00",8,3,11,DE,575,135075.79
78562365,14344.0,"2019-08-04 13:51:00",8,6,13,DE,39,5514.79
78566060,,"2019-09-08 15:27:00",9,6,15,DE,469,58101.63
78563579,,"2019-08-17 15:16:00",8,5,15,DE,1,7.49
78558896,,"2019-07-04 15:55:00",7,3,15,DE,13,959.12
78562937,,"2019-08-10 17:13:00",8,5,17,DE,1,7.49
78568667,14606.0,"2019-09-28 13:00:00",9,5,13,DE,44,2177.82
78570664,16362.0,"2019-10-11 14:21:00",10,4,14,DE,83,7896.76
78575627,17977.0,"2019-11-10 13:28:00",11,6,13,DE,342,16881.02
78575677,,"2019-11-10 15:18:00",11,6,15,DE,4,128.43
78576201,14606.0,"2019-11-14 12:18:00",11,3,12,DE,46,2709.82
78577286,14606.0,"2019-11-18 12:39:00",11,0,12,DE,63,3058.63
78536401,15862.0,"2018-12-01 11:21:00",12,5,11,DE,124,10333.70
78540968,17338.0,"2019-01-12 13:40:00",1,5,13,DE,315,45111.32
78546427,14606.0,"2019-03-13 14:29:00",3,2,14,DE,54,2601.62
78549720,14606.0,"2019-04-11 15:25:00",4,3,15,DE,56,2603.69
78551842,16678.0,"2019-05-04 13:52:00",5,5,13,DE,186,18030.13
78553702,13263.0,"2019-05-18 14:50:00",5,5,14,DE,102,7227.36
78563916,13435.0,"2019-08-21 13:43:00",8,2,13,DE,284,36490.91
78538188,,"2018-12-10 10:29:00",12,0,10,DE,1,7.59
78565861,17368.0,"2019-09-07 14:47:00",9,5,14,DE,4,404.60
78567642,12409.0,"2019-09-21 14:15:00",9,5,14,Switzerland,1,7.65
78547943,,"2019-03-28 14:58:00",3,3,14,DE,1,7.89
78559603,,"2019-07-11 11:27:00",7,3,11,DE,1,7.89
78549550,15038.0,"2019-04-10 11:45:00",4,2,11,DE,29,3074.04
78547025,,"2019-03-18 16:50:00",3,0,16,DE,1,7.90
78556456,12748.0,"2019-06-10 16:47:00",6,0,16,DE,1,7.90
78574428,,"2019-11-04 11:26:00",11,0,11,DE,3,23.68
78546550,17799.0,"2019-03-14 16:54:00",3,3,16,DE,1,7.92
78559822,16365.0,"2019-07-12 17:15:00",7,4,17,DE,1,7.95
78564928,,"2019-08-31 12:46:00",8,5,12,DE,1,7.99
78547196,12637.0,"2019-03-21 12:44:00",3,3,12,France,5,368.17
78566302,16474.0,"2019-09-11 16:09:00",9,2,16,DE,1,7.99
78568134,,"2019-09-23 17:02:00",9,0,17,DE,586,56699.54
78573094,15707.0,"2019-10-27 14:39:00",10,6,14,DE,130,17836.62
78575878,13588.0,"2019-11-11 13:29:00",11,0,13,DE,13,1073.23
78566478,,"2019-09-13 09:03:00",9,4,9,DE,1,7.99
78572097,,"2019-10-20 15:30:00",10,6,15,DE,13,1414.67
78537470,15018.0,"2018-12-07 10:47:00",12,4,10,DE,21,4385.83
78546104,14527.0,"2019-03-09 12:19:00",3,5,12,DE,15,1565.66
78539298,14180.0,"2018-12-16 17:29:00",12,6,17,DE,29,8324.04
78537633,,"2018-12-07 15:14:00",12,4,15,DE,5,355.19
78558337,,"2019-06-28 13:31:00",6,4,13,DE,6,123.44
78566064,,"2019-09-08 15:53:00",9,6,15,DE,1,7.99
78580683,,"2019-12-05 15:10:00",12,3,15,DE,2,322.98
78569665,12789.0,"2019-10-05 13:34:00",10,5,13,Netherlands,3,35.97
78538360,,"2018-12-10 16:29:00",12,0,16,DE,1,7.99
78539583,,"2018-12-20 12:53:00",12,3,12,DE,1,7.99
78542515,,"2019-01-28 12:08:00",1,0,12,DE,1,7.99
78543238,,"2019-02-04 13:42:00",2,0,13,DE,1,7.99
78547395,,"2019-03-22 16:38:00",3,4,16,DE,1,7.99
78543530,,"2019-02-09 12:46:00",2,5,12,DE,266,22776.70
78560025,18283.0,"2019-07-14 13:00:00",7,6,13,DE,100,6946.05
78560601,16764.0,"2019-07-19 17:17:00",7,4,17,DE,95,11705.40
78562420,,"2019-08-04 16:38:00",8,6,16,DE,523,93779.01
78551964,,"2019-05-05 13:13:00",5,6,13,DE,1,8.09
78536994,14898.0,"2018-12-03 15:25:00",12,0,15,DE,18,960.22
78552256,16621.0,"2019-05-08 10:43:00",5,2,10,DE,95,11535.91
78537877,,"2018-12-08 18:08:00",12,5,18,DE,1,8.88
78540695,,"2019-01-11 09:14:00",1,4,9,DE,1,8.88
78543473,,"2019-02-08 15:01:00",2,4,15,DE,1,8.88
78570872,,"2019-10-12 16:40:00",10,5,16,DE,502,60029.85
78571031,15005.0,"2019-10-13 12:30:00",10,6,12,DE,128,11927.78
78572550,,"2019-10-24 17:06:00",10,3,17,DE,590,57844.93
78575087,16549.0,"2019-11-08 13:57:00",11,4,13,DE,106,19576.23
78539631,,"2018-12-20 15:03:00",12,3,15,DE,416,44582.67
78539708,,"2018-12-21 12:18:00",12,4,12,DE,168,17995.39
78542794,,"2019-02-01 10:56:00",2,4,10,DE,141,9878.92
78544434,,"2019-02-18 16:12:00",2,0,16,DE,530,33723.83
78545895,,"2019-03-07 17:14:00",3,3,17,DE,553,50460.44
78547042,,"2019-03-20 11:00:00",3,2,11,DE,461,54254.90
78549023,,"2019-04-05 16:27:00",4,4,16,DE,311,56039.79
78553549,,"2019-05-17 16:09:00",5,4,16,DE,244,29385.60
78554268,15311.0,"2019-05-23 12:59:00",5,3,12,DE,369,68513.24
78555276,,"2019-06-01 17:28:00",6,5,17,DE,302,28496.09
78557225,15311.0,"2019-06-17 13:37:00",6,0,13,DE,229,28278.10
78557645,,"2019-06-21 17:08:00",6,4,17,DE,194,15105.58
78558066,,"2019-06-24 15:45:00",6,0,15,DE,368,25841.93
78558614,,"2019-06-30 15:56:00",6,6,15,DE,1410,171243.32
78561369,,"2019-07-26 16:21:00",7,4,16,DE,431,55556.56
78562934,,"2019-08-10 16:56:00",8,5,16,DE,355,33792.55
78563193,,"2019-08-12 16:30:00",8,0,16,DE,533,91273.70
78564758,,"2019-08-30 10:39:00",8,4,10,DE,373,53648.34
78565841,,"2019-09-07 12:04:00",9,5,12,DE,426,48015.74
78544885,14243.0,"2019-02-24 11:38:00",2,6,11,DE,100,10404.92
78545345,14180.0,"2019-03-02 09:33:00",3,5,9,DE,41,2190.57
78547219,,"2019-03-21 14:51:00",3,3,14,DE,595,18167.52
78548604,,"2019-04-01 10:58:00",4,0,10,DE,16,2427.33
78548870,14606.0,"2019-04-04 14:41:00",4,3,14,DE,58,3087.43
78552675,,"2019-05-10 15:07:00",5,4,15,DE,91,5963.95
78552950,16116.0,"2019-05-12 12:01:00",5,6,12,DE,248,20284.39
78554514,,"2019-05-24 15:58:00",5,4,15,DE,620,55676.29
78556905,16904.0,"2019-06-15 13:05:00",6,5,13,DE,168,13412.36
78557290,16880.0,"2019-06-19 13:01:00",6,2,13,DE,16,353.80
78559165,12977.0,"2019-07-06 16:40:00",7,5,16,DE,12,824.81
78561658,12743.0,"2019-07-28 16:06:00",7,6,16,Unknown,205,14526.85
78565329,14606.0,"2019-09-02 13:54:00",9,0,13,DE,59,5211.53
78567679,14606.0,"2019-09-21 16:15:00",9,5,16,DE,42,2598.86
78577258,16764.0,"2019-11-18 12:27:00",11,0,12,DE,108,14671.90
78570442,16549.0,"2019-10-10 14:37:00",10,3,14,DE,158,14780.31
78572095,15511.0,"2019-10-20 15:15:00",10,6,15,DE,39,1686.38
78577331,14667.0,"2019-11-18 14:23:00",11,0,14,DE,370,16088.51
78578782,15872.0,"2019-11-25 11:55:00",11,0,11,DE,1,8.99
78578933,16923.0,"2019-11-27 12:47:00",11,2,12,DE,20,751.76
78570858,,"2019-10-12 15:15:00",10,5,15,DE,7,434.93
78557610,,"2019-06-21 12:09:00",6,4,12,DE,1,8.99
78561509,,"2019-07-27 14:28:00",7,5,14,DE,5,123.95
78539748,,"2018-12-21 15:23:00",12,4,15,DE,7,572.95
78539218,15574.0,"2018-12-16 12:48:00",12,6,12,DE,1,8.99
78537404,17191.0,"2018-12-06 14:46:00",12,3,14,DE,38,16769.37
78538917,17449.0,"2018-12-15 10:57:00",12,5,10,DE,264,22884.18
78539451,,"2018-12-17 16:59:00",12,0,16,DE,833,92853.26
78539579,16713.0,"2018-12-20 12:51:00",12,3,12,DE,111,12947.00
78541259,14404.0,"2019-01-16 15:38:00",1,2,15,DE,102,8464.09
78541277,12673.0,"2019-01-17 11:46:00",1,3,11,UK,171,14547.49
78542387,,"2019-01-27 14:38:00",1,6,14,DE,5,190.37
78543111,15719.0,"2019-02-03 12:44:00",2,6,12,DE,200,26823.06
78543979,14606.0,"2019-02-14 15:43:00",2,3,15,DE,57,3258.88
78546993,17921.0,"2019-03-18 13:19:00",3,0,13,DE,139,16149.71
78548167,,"2019-03-29 13:45:00",3,4,13,DE,96,8028.75
78548739,15493.0,"2019-04-04 11:28:00",4,3,11,DE,105,9751.00
78548991,16915.0,"2019-04-05 13:48:00",4,4,13,DE,29,1985.90
78549128,16713.0,"2019-04-06 14:25:00",4,5,14,DE,166,6745.32
78549874,16919.0,"2019-04-12 15:23:00",4,4,15,DE,191,46102.65
78550459,18116.0,"2019-04-18 13:17:00",4,3,13,DE,127,18853.75
78550941,17109.0,"2019-04-21 15:46:00",4,6,15,DE,227,24835.72
78551283,16755.0,"2019-04-27 14:01:00",4,5,14,DE,491,43904.90
78554520,17841.0,"2019-05-24 17:03:00",5,4,17,DE,137,8604.69
78554964,15867.0,"2019-05-27 15:57:00",5,0,15,DE,207,17959.32
78555326,,"2019-06-02 11:03:00",6,6,11,DE,49,3337.66
78556408,13533.0,"2019-06-10 11:54:00",6,0,11,DE,97,18222.42
78558100,17768.0,"2019-06-26 13:46:00",6,2,13,DE,124,25194.31
78560117,,"2019-07-15 10:14:00",7,0,10,DE,16,814.36
78560270,16744.0,"2019-07-17 14:42:00",7,2,14,DE,99,15790.24
78560298,,"2019-07-18 10:26:00",7,3,10,DE,90,10136.03
78562526,16880.0,"2019-08-05 13:46:00",8,0,13,DE,69,12217.44
78564489,15950.0,"2019-08-25 14:13:00",8,6,14,DE,310,35179.60
78565115,16880.0,"2019-09-01 11:22:00",9,6,11,DE,124,74726.64
78572700,,"2019-10-25 14:26:00",10,4,14,DE,1,8.99
78576662,,"2019-11-16 11:19:00",11,5,11,DE,1,8.99
78539688,12678.0,"2018-12-21 11:00:00",12,4,11,France,1,8.99
78564085,14911.0,"2019-08-23 09:17:00",8,4,9,Ireland,1,8.99
78565474,14156.0,"2019-09-05 10:34:00",9,3,10,Ireland,1,8.99
78559991,14527.0,"2019-07-14 12:29:00",7,6,12,DE,27,1814.32
78563930,,"2019-08-21 15:43:00",8,2,15,DE,6,781.93
78567427,,"2019-09-20 11:34:00",9,4,11,DE,4,97.05
78565076,,"2019-08-31 17:30:00",8,5,17,DE,1,9.45
78575934,,"2019-11-13 11:15:00",11,2,11,DE,4,129.42
78555948,13752.0,"2019-06-08 10:49:00",6,5,10,DE,147,9486.00
78556574,16209.0,"2019-06-13 13:41:00",6,3,13,DE,409,198932.27
78559315,13456.0,"2019-07-07 13:52:00",7,6,13,DE,101,20342.44
78561200,13695.0,"2019-07-25 15:01:00",7,3,15,DE,49,777.46
78564910,13993.0,"2019-08-31 12:31:00",8,5,12,DE,49,8021.14
78565929,15488.0,"2019-09-08 10:11:00",9,6,10,DE,73,5481.22
78569660,17382.0,"2019-10-05 13:05:00",10,5,13,DE,25,369.70
78574282,15612.0,"2019-11-03 14:52:00",11,6,14,DE,21,944.74
78578253,14744.0,"2019-11-23 12:51:00",11,5,12,DE,73,12248.50
78578816,14111.0,"2019-11-25 13:44:00",11,0,13,DE,256,12647.29
78579185,13188.0,"2019-11-28 15:28:00",11,3,15,DE,25,1209.70
78581221,17856.0,"2019-12-08 09:40:00",12,6,9,DE,265,52622.74
78537213,12748.0,"2018-12-05 15:26:00",12,2,15,DE,7,426.89
78541844,16931.0,"2019-01-23 12:19:00",1,2,12,DE,128,6506.86
78544803,14606.0,"2019-02-23 14:29:00",2,5,14,DE,59,14365.21
78549125,14964.0,"2019-04-06 14:13:00",4,5,14,DE,143,16430.74
78558758,17939.0,"2019-07-03 12:27:00",7,2,12,DE,40,3755.97
78563427,16470.0,"2019-08-16 11:40:00",8,4,11,DE,188,24087.30
78576594,,"2019-11-15 14:55:00",11,4,14,DE,1,9.95
78548221,,"2019-03-30 09:47:00",3,5,9,DE,1,9.99
78578154,15117.0,"2019-11-23 11:30:00",11,5,11,DE,1,9.99
78543751,,"2019-02-11 14:00:00",2,0,14,DE,2,49.98
78541412,,"2019-01-17 16:08:00",1,3,16,DE,1,9.99
78551847,,"2019-05-04 14:26:00",5,5,14,DE,1,9.99
78536866,,"2018-12-03 11:28:00",12,0,11,DE,1,9.99
78539734,,"2018-12-21 15:14:00",12,4,15,DE,1,9.99
78568505,15311.0,"2019-09-27 12:17:00",9,4,12,DE,380,83586.92
78569865,12748.0,"2019-10-06 14:47:00",10,6,14,DE,26,978.23
78570404,16395.0,"2019-10-10 12:50:00",10,3,12,DE,276,40987.38
78571655,14688.0,"2019-10-18 12:18:00",10,4,12,DE,112,3456.58
78572295,16686.0,"2019-10-23 13:49:00",10,2,13,DE,350,29593.29
78572833,12748.0,"2019-10-26 11:41:00",10,5,11,DE,15,631.01
78572834,12748.0,"2019-10-26 11:46:00",10,5,11,DE,33,1048.22
78573152,17530.0,"2019-10-27 20:16:00",10,6,20,DE,116,8932.54
78574743,15351.0,"2019-11-06 16:14:00",11,2,16,DE,79,5114.34
78575843,14446.0,"2019-11-11 12:02:00",11,0,12,DE,124,5880.96
78577329,17779.0,"2019-11-18 14:15:00",11,0,14,DE,47,3335.88
78577500,14052.0,"2019-11-20 12:30:00",11,2,12,DE,89,6409.68
78578066,,"2019-11-22 15:43:00",11,4,15,DE,36,1067.51
78578678,17841.0,"2019-11-24 19:59:00",11,6,19,DE,399,38200.47
78581449,12748.0,"2019-12-08 17:37:00",12,6,17,DE,22,5474.83
78541799,12970.0,"2019-01-21 14:21:00",1,0,14,DE,2,34.94
78561815,14083.0,"2019-07-29 15:42:00",7,0,15,DE,8,78.88
78556099,13162.0,"2019-06-08 15:38:00",6,5,15,DE,1,9.99
78560900,,"2019-07-21 17:33:00",7,6,17,DE,3,259.02
78567702,15810.0,"2019-09-22 09:38:00",9,6,9,DE,5,53.95
78537878,,"2018-12-08 18:09:00",12,5,18,DE,1,9.99
78536846,14573.0,"2018-12-02 19:59:00",12,6,19,DE,134,9682.17
78537389,17757.0,"2018-12-06 13:41:00",12,3,13,DE,60,3599.32
78537392,17068.0,"2018-12-06 13:58:00",12,3,13,DE,80,8522.27
78539659,15034.0,"2018-12-21 09:47:00",12,4,9,DE,454,36587.60
78540172,18109.0,"2019-01-05 12:29:00",1,5,12,DE,54,2865.77
78540288,17634.0,"2019-01-06 12:45:00",1,6,12,DE,163,12104.06
78543668,18118.0,"2019-02-11 11:17:00",2,0,11,DE,24,2897.30
78544201,,"2019-02-17 10:11:00",2,6,10,DE,95,6595.44
78544485,17757.0,"2019-02-21 11:35:00",2,3,11,DE,76,8054.93
78545036,14573.0,"2019-02-25 17:25:00",2,0,17,DE,40,3148.86
78545459,17576.0,"2019-03-02 17:21:00",3,5,17,DE,151,3800.88
78545477,14573.0,"2019-03-03 11:07:00",3,6,11,DE,28,2521.51
78547906,14410.0,"2019-03-28 12:13:00",3,3,12,DE,129,10743.95
78549586,,"2019-04-11 10:00:00",4,3,10,DE,462,37939.64
78550965,16750.0,"2019-04-21 16:53:00",4,6,16,DE,18,1066.45
78553384,16899.0,"2019-05-16 15:53:00",5,3,15,DE,62,2942.65
78553539,,"2019-05-17 15:27:00",5,4,15,DE,45,2147.85
78554978,16889.0,"2019-05-29 11:05:00",5,2,11,DE,250,11853.54
78557406,15747.0,"2019-06-20 11:30:00",6,3,11,DE,132,13640.22
78558340,,"2019-06-28 14:01:00",6,4,14,DE,53,7284.28
